Descrição;Placa do Veículo;Última Quilometragem;Quantidade de Baias;Tamanho da baia;Perfil do veículo;Tipo do veículo;Transportadora;Baias Personalizadas
0764;BYE9897;0;28;42;Frota Fixa;;Ambev;Não
EMPURRADA;BYF0841;50000;28;28;Freteiro;;Fabio Alves da Silveira;Não
CARRETA;BYG0992;202390;22;42;Recarga;;Ambev;Não
0764;BYI3550;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BYI6E97;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BYJ1518;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BYJ2390;0;28;42;Frota Fixa;;Ambev;Não
0764;BYJ3553;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BYJ5524;0;10;42;Recarga;;Ambev;Não
0764;BYJ6J87;0;28;42;Frota Fixa;;Ambev;Não
0764;BYP1424;0;42;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BYP1474;0;42;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BYP1475;0;42;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BYP1974;0;42;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BYP1979;0;42;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BYP6505;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BYX0238;500000;28;28;Frota Fixa;;Ambev;Não
0764;BYX0C96;12;28;28;Frota Fixa;;Carsten Serviços e Transportes Eireli;Não
0764;BYX1061;0;42;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
CARRETA;BYX7058;0;28;42;Frota Fixa;;Ambev;Não
0764;BYX8081;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BYY6401;0;28;42;Frota Fixa;;Ambev;Não
0764;BZA6561;50000;28;28;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
CARRETA;BZA8614;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BZB2C37;0;42;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BZB3474;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BZB3F86;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BZB6568;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BZF0F28;0;28;42;Frota Fixa;;UDC SUZANO NEPOMUCENO;Não
0764;BZF5F67;0;6;42;Frota Fixa;;Ambev;Não
0764;BZG0470;0;28;42;Frota Fixa;;Ambev;Não
0764;BZG4551;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BZG4556;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BZG4557;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BZG9788;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BZK8B27;0;42;42;Frota Fixa;;Ambev;Não
0764;BZR1557;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BZR5788;10;28;28;Frota Fixa;;Ambev;Não
0764;BZR8482;0;42;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
