Id,Side,Number,BaySize,VehicleId,VehicleBayIdLegacy
803,0,3,35,159972,NULL
804,0,4,42,159972,NULL
805,1,1,35,159972,NULL
806,1,2,42,159972,NULL
807,1,3,35,159972,NULL
808,1,4,42,159972,NULL
809,0,1,35,162252,NULL
810,0,2,42,162252,NULL
811,0,3,35,162252,NULL
812,0,4,35,162252,NULL
813,0,5,42,162252,NULL
814,1,1,35,162252,NULL
815,1,2,42,162252,NULL
816,1,3,35,162252,NULL
817,1,4,35,162252,NULL
818,1,5,42,162252,NULL
819,0,1,35,161381,NULL
820,0,2,42,161381,NULL
821,0,3,35,161381,NULL
822,0,4,42,161381,NULL
823,1,1,35,161381,NULL
824,1,2,42,161381,NULL
825,1,3,35,161381,NULL
826,1,4,42,161381,NULL
827,0,1,35,162253,NULL
828,0,2,42,162253,NULL
829,0,3,35,162253,NULL
830,0,4,35,162253,NULL
831,0,5,42,162253,NULL
832,1,1,35,162253,NULL
833,1,2,42,162253,NULL
834,1,3,35,162253,NULL
835,1,4,35,162253,NULL
836,1,5,42,162253,NULL
837,0,1,35,162254,NULL
838,0,2,42,162254,NULL
839,0,3,35,162254,NULL
840,0,4,42,162254,NULL
841,1,1,35,162254,NULL
842,1,2,42,162254,NULL
843,1,3,35,162254,NULL
844,1,4,42,162254,NULL
845,0,1,35,159973,NULL
846,0,2,42,159973,NULL
847,0,3,35,159973,NULL
848,0,4,42,159973,NULL
849,1,1,35,159973,NULL
850,1,2,42,159973,NULL
851,1,3,35,159973,NULL
852,1,4,42,159973,NULL
853,0,1,35,162256,NULL
854,0,2,42,162256,NULL
855,0,3,35,162256,NULL
856,0,4,35,162256,NULL
857,0,5,42,162256,NULL
858,1,1,35,162256,NULL
859,1,2,42,162256,NULL
860,1,3,35,162256,NULL
861,1,4,35,162256,NULL
862,1,5,42,162256,NULL
863,0,1,42,162258,NULL
864,0,2,21,162258,NULL
865,1,1,42,162258,NULL
866,1,2,21,162258,NULL
867,0,1,42,162268,NULL
868,0,2,35,162268,NULL
869,0,3,42,162268,NULL
870,0,4,35,162268,NULL
871,1,1,42,162268,NULL
872,1,2,35,162268,NULL
873,1,3,42,162268,NULL
874,1,4,35,162268,NULL
875,0,1,35,162270,NULL
876,0,2,42,162270,NULL
877,0,3,35,162270,NULL
878,0,4,35,162270,NULL
879,0,5,42,162270,NULL
880,1,1,35,162270,NULL
881,1,2,42,162270,NULL
882,1,3,35,162270,NULL
883,1,4,35,162270,NULL
884,1,5,42,162270,NULL
885,0,1,42,157830,NULL
886,0,2,35,157830,NULL
887,0,3,42,157830,NULL
888,0,4,35,157830,NULL
889,1,1,42,157830,NULL
890,1,2,35,157830,NULL
891,1,3,42,157830,NULL
892,1,4,35,157830,NULL
893,0,1,42,162271,NULL
894,0,2,35,162271,NULL
895,0,3,42,162271,NULL
896,0,4,42,162271,NULL
897,0,5,35,162271,NULL
